Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
SPSUR ;SPSUR-4BOJ-1        ;LT  440 kV SUMARE               / BOM JARDIM           C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;O:BB D:BB;0.07;0.80;46;47;;440;;31/12/1990;
SPASS ;SPASS-4BAU-1        ;LT  440 kV ASSIS                / BAURU                C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;O:BB D:SC,TC(FT1,2);O:BB D:SC;0.19;2.35;133;138;;440;;31/12/1990;
SPASS ;SPASS-4SUR-1        ;LT  440 kV ASSIS                / SUMARE               C 1  SP          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;007/1999  ;2540;2540;2540;2540;;;0.43;5.49;310;332;2  ;440;30/09/2001;19/10/2001;12/11/2001
SPSBO ;SPSBO-4SUR-1        ;LT  440 kV SANTA BARBARA        / SUMARE               C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;O:SC,BB D:BB;0.03;0.36;20;21;;440;;31/12/1990;
SPRPR ;SPRPR-4SBO-1        ;LT  440 kV RIBEIRAOPRETO        / SANTA BARBARA        C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;O:SC D:SC,BB;0.23;3.02;164;173;;440;;31/12/1990;
SPAGV ;SPAGV-4RPR-1        ;LT  440 kV AGUA VERMELHA        / RIBEIRAOPRETO        C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;O:SC,BB,TC(FT1) D:SC,BB,TC(FT1,2);Ver comentário;0.43;5.63;305;323;;440;;31/12/1990;
SPAGV ;SPAGV-4ARA-1        ;LT  440 kV AGUA VERMELHA        / ARARAQUARA CTP       C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;O:SC,BB,TC(FT1) D:BB;Ver comentário;0.42;5.37;292;309;;440;;31/12/1990;
SPILS ;SPILS-4AGV-1        ;LT  440 kV ILHA SOLTEIRA        / AGUA VERMELHA        C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;Ver comentário;0.19;2.47;137;142;;440;;31/12/1990;
SPILS ;SPILS-4TRI-1        ;LT  440 kV ILHA SOLTEIRA        / TRES IRMAOS          C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;O:SC,BB D:BB;0.06;0.80;49;49;;440;;31/12/1990;
SPJUP ;SPJUP-4TRI-1        ;LT  440 kV JUPIA                / TRES IRMAOS          C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;Ver comentário;O:SC,BB D:BB;0.06;0.71;44;44;;440;;31/12/1990;
SPTAQ ;SPTAQ-4ASS-1        ;LT  440 kV TAQUARUCU            / ASSIS                C 1  SP          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;007/1999  ;2540;2540;2540;2540;;;0.24;3.03;171;173;2  ;440;30/09/2001;19/10/2001;12/11/2001
SPTAQ ;SPTAQ-4CPV-1        ;LT  440 kV TAQUARUCU            / CAPIVARA             C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2000;2000;D:BB;D:BB;0.09;1.19;67;69;;440;;21/12/1984;
SPCPV ;SPCPV-4ASS-1        ;LT  440 kV CAPIVARA             / ASSIS                C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;2664;3212;2664;3000;O:CB D:CB;Ver comentário;0.14;1.83;103;107;;440;;31/12/1990;
SPEMG ;SPEMG-3SUL-1        ;LT  345 kV EMBU-GUACU           / SUL                  C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;;1526;1846;1526;1846;;;0.19;1.70;30;55;;345;;31/12/1990;
