Id da Instalação;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Proprietário;Número da Outorga;Capacidade CPST Longa sem Limitação (A);Capacidade CPST Curta sem Limitação (A);Capacidade CPST Longa com Limitação (A);Capacidade CPST Curta com Limitação (A);Fator Limitante de Longa;Fator Limitante de Curta;Resistência (%);Reatância Fixa (%);Susceptância Shunt (MVAr);Comprimento (Km);Tipo do Cabo Pára-raio;Tensão;Data de Necessidade do SIN;Data Entrada;Data Prevista
MTPRG ;MTPRG-5RIB-2        ;LT  500 kV PARANATINGA          / RIBEIRAOZINHO        C 2  MT          ;LTR;BASICA         ;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;002/2012  ;3000;3780;3000;3780;;;0.22;3.85;532;354;;500;31/01/2015;29/07/2016;15/05/2016
MTCLD ;MTCLD-5PRT-2        ;LT  500 kV CLAUDIA              / PARANAITA            C 2  MT          ;LTR;BASICA         ;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;002/2012  ;3000;3780;3000;3780;;;0.19;3.21;445;300;;500;31/01/2015;08/10/2015;30/11/2015
MTPRG ;MTPRG-5RIB-1        ;LT  500 kV PARANATINGA          / RIBEIRAOZINHO        C 1  MT          ;LTR;BASICA         ;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;002/2012  ;3000;3780;3000;3780;;;0.22;3.85;532;354;;500;31/01/2015;29/07/2016;15/05/2016
MTCLD ;MTCLD-5PRG-1        ;LT  500 kV CLAUDIA              / PARANATINGA          C 1  MT          ;LTR;BASICA         ;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;002/2012  ;3000;3780;3000;3780;;;0.22;3.81;537;350;;500;31/01/2015;29/07/2016;30/07/2016
MTCLD ;MTCLD-5PRT-1        ;LT  500 kV CLAUDIA              / PARANAITA            C 1  MT          ;LTR;BASICA         ;MATRINCHA TRANSMISSORA DE ENERGIA S A                          ;002/2012  ;3000;3780;3000;3780;;;0.19;3.21;445;300;;500;31/01/2015;22/10/2015;30/11/2015
ALMSI ;ALMSI-2MCD-2        ;LT  230 kV MESSIAS              / MACEIO II            C M2 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;006/2011  ;1545;1810;1545;1810;;;0.18;1.32;5;20;;230;31/08/2011;01/03/2019;15/02/2019
BAIGB ;BAIGB-2POD-1        ;LT  230 kV ITAGIBA              / POCOES II            C Z1 BA          ;LTR;BASICA         ;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;006/2011  ;628;791;628;791;;;1.74;8.25;16;87;;230;31/08/2011;27/10/2019;30/01/2020
BABDD ;BABDD-2POD-1        ;LT  230 kV BRUMADO II           / POCOES II            C F6 BA          ;LTR;BASICA         ;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S.A.                  ;006/2011  ;628;791;628;791;;;2.81;13.55;25;146;;230;31/08/2011;27/10/2019;30/01/2020
ALMSI ;ALMSI-2MCD-1        ;LT  230 kV MESSIAS              / MACEIO II            C M1 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;006/2011  ;1545;1810;1545;1810;;;0.18;1.33;5;20;;230;31/08/2011;17/02/2019;15/02/2019
PEUTSD;PEUTSD2SUD-2        ;LT  230 kV UTE SUAPE II         / SUAPE II             C P2 PE          ;LTR;COMPLEMENTAR   ;Energética Suape II S.A.                                       ;;;;;;;;0.09;0.46;1;6;;230;;24/01/2013;28/02/2013
PEUTSD;PEUTSD2SUD-1        ;LT  230 kV UTE SUAPE II         / SUAPE II             C P1 PE          ;LTR;COMPLEMENTAR   ;Energética Suape II S.A.                                       ;;;;;;;;0.09;0.46;1;6;;230;;24/01/2013;28/02/2013
APLAL ;APLAL-2SAJ-1        ;LT  230 kV LARANJAL             / STO.ANT.JARI         C 1  AP          ;LTR;COMPLEMENTAR   ;COMPANHIA ENERGÉTICA DO JARI - CEJA                            ;;;;;;;;0.16;1.31;5;20;;230;;25/08/2014;31/10/2014
APFGO ;APFGO-2MCP-1        ;LT  230 kV FERREI.GOMES         / MACAPA               C 1  AP          ;LTR;COMPLEMENTAR   ;Ferreira Gomes Energia SA                                      ;;;;;;;;0.56;6.71;22;93;;230;;08/10/2014;30/12/2014
SPASS ;SPASS-2PAD-1        ;LT  230 kV ASSIS                / PAR.PAULISTA2        C 1  SP          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;007/2012  ;865;1010;865;1010;;;0.78;3.91;7;42;;230;31/05/2011;24/01/2016;24/01/2016
PRCBL ;PRCBL-2DJP-1        ;LT  230 kV CURIT.LESTE          / D.S.J.PINHAIS        C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;861;990;861;990;;;0.14;0.80;2;9;;230;31/12/2012;28/06/2015;30/06/2015
PRCBL ;PRCBL-2SMC-1        ;LT  230 kV CURIT.LESTE          / SANTA MONICA         C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;861;990;861;990;;;0.40;2.36;5;26;;230;31/12/2012;28/06/2015;30/06/2015
PRCBL ;PRCBL-2PFL-1        ;LT  230 kV CURIT.LESTE          / POSTO FISCAL         C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;413;549;413;549;;;1.19;5.82;11;61;;230;31/12/2012;28/06/2015;30/06/2015
PRCBL ;PRCBL-2UBR-1        ;LT  230 kV CURIT.LESTE          / UBERABA              C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;791;897;791;897;;;0.34;1.81;3;19;;230;31/12/2012;28/06/2015;30/06/2015
PRCBA ;PRCBA-5CBL-1        ;LT  525 kV CURITIBA             / CURIT.LESTE          C 1  PR          ;LTR;BASICA         ;MARUMBI TRANSMISSORA DE ENERGIA S.A.                           ;006/2011  ;2710;3335;2710;3335;;;0.03;0.32;42;29;;525;31/12/2012;28/06/2015;30/06/2015
SCATA ;SCATA-2LAG-2        ;LT  230 kV ABDON BATISTA        / LAGES                C 2  SC          ;LTR;BASICA         ;STC - SISTEMA DE TRANSMISSÃO CATARINENSE S.A.                  ;006/2011  ;879;879;879;879;;;1.06;8.01;17;89;;230;31/12/2014;01/12/2014;21/12/2014
SCATA ;SCATA-2BGR-2        ;LT  230 kV ABDON BATISTA        / BARRA GRANDE         C 2  SC          ;LTR;BASICA         ;STC - SISTEMA DE TRANSMISSÃO CATARINENSE S.A.                  ;006/2011  ;879;879;879;879;;;0.48;3.56;7;40;;230;31/12/2014;01/12/2014;21/12/2014
SCATA ;SCATA-2LAG-1        ;LT  230 kV ABDON BATISTA        / LAGES                C 1  SC          ;LTR;BASICA         ;STC - SISTEMA DE TRANSMISSÃO CATARINENSE S.A.                  ;006/2011  ;879;879;879;879;;;1.06;8.01;17;89;;230;31/12/2014;08/12/2014;21/12/2014
SCATA ;SCATA-2BGR-1        ;LT  230 kV ABDON BATISTA        / BARRA GRANDE         C 1  SC          ;LTR;BASICA         ;STC - SISTEMA DE TRANSMISSÃO CATARINENSE S.A.                  ;006/2011  ;879;879;879;879;;;0.48;3.56;7;40;;230;31/12/2014;08/12/2014;21/12/2014
SCATA ;SCATA-5CNO-1        ;LT  525 kV ABDON BATISTA        / C.NOVOS              C 1  SC          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;2920;2920;2920;2920;;;0.02;0.36;55;35;;525;31/12/2014;26/01/2015;30/12/2014
SCATA ;SCATA-5BIG-1        ;LT  525 kV ABDON BATISTA        / BIGUACU              C 1  SC          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;2920;2920;2920;2920;;;0.16;2.44;373;235;;525;31/12/2014;26/01/2015;30/12/2014
PRCTE ;PRCTE-2UMU21        ;LT  230 kV CASCAVEL NORT        / UMUARAMA SUL         C 1  PR          ;LTR;BASICA         ;COSTA OESTE TRANSMISSORA DE ENERGIA S.A.                       ;006/2011  ;800;935;800;935;;;2.02;11.96;23;129;;230;31/12/2013;30/08/2014;30/09/2014
PRCTE ;PRCTE-2CVO-1        ;LT  230 kV CASCAVEL NORT        / CASCAVEL OEST        C 1  PR          ;LTR;BASICA         ;COSTA OESTE TRANSMISSORA DE ENERGIA S.A.                       ;006/2011  ;800;935;800;935;;;0.41;2.44;5;27;;230;31/12/2013;31/08/2014;30/09/2014
PRSQU ;PRSQU-2UMB-1        ;LT  230 kV SANTAQUITERIA        / UMBARA               C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;694;694;694;694;;FLECHA;0.46;2.39;5;25;;230;31/12/2013;23/07/2014;30/07/2014
PRCCO ;PRCCO-2SQU-1        ;LT  230 kV C.COMPRIDO           / SANTAQUITERIA        C 1  PR          ;LTR;BASICA         ;COPEL GERAÇÃO E TRANSMISSÃO S.A.                               ;006/2011  ;969;1085;969;1085;;;0.15;0.90;3;10;;230;31/12/2013;23/07/2014;30/07/2014
SCBIG ;SCBIG-2GAS21        ;LT  230 kV BIGUACU              / GASPAR 2             C 1  SC          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;609;767;609;767;;;2.11;10.13;18;110;;230;31/01/2013;15/03/2015;10/03/2015
SCBLU ;SCBLU-2GAS21        ;LT  230 kV BLUMENAU             / GASPAR 2             C 1  SC          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;609;767;609;767;;;0.38;1.47;3;14;;230;31/01/2013;18/03/2015;10/03/2015
RSCAM3;RSCAM32GUA21        ;LT  230 kV CAMAQUA 3            / GUAIBA 2             C 1  RS          ;LTR;BASICA         ;CPFL TRANSMISSAO S.A.                                          ;006/2011  ;679;856;679;856;;;1.74;8.29;15;87;;230;31/05/2011;07/12/2014;30/12/2014
RSCAM3;RSCAM32NSR-1        ;LT  230 kV CAMAQUA 3            / NOVA STA RITA        C 1  RS          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;1380;1740;1380;1740;;;1.19;8.28;30;126;;230;31/05/2011;09/12/2014;30/12/2014
RJSTNV;RJSTNV5STZO1        ;LT  500 kV NOVA IGUACU          / ZONA OESTE           C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;2142;2699;2142;2699;cabo;cabo;0.03;0.44;37;32;;500;31/10/2013;02/10/2017;31/08/2017
RJSTJP;RJSTJP3STNV1        ;LT  345 kV JACAREPAGUA          / NOVA IGUACU          C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;1428;1799;1428;1799;Cabo;Cabo;0.10;1.15;19;32;;345;31/12/2015;12/02/2021;09/02/2021
RJSTAD;RJSTAD3STNV1        ;LT  345 kV ADRIANOPOLIS         / NOVA IGUACU          C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;1428;1799;1428;1799;Cabo;Cabo;0.07;0.82;14;15;;345;31/12/2015;12/02/2021;09/02/2021
RJSTGR;RJSTGR5STNV1        ;LT  500 kV GRAJAU               / NOVA IGUACU          C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;2142;2699;2142;2699;cabo;cabo;0.03;0.61;65;46;;500;31/10/2013;02/10/2017;31/08/2017
RJSTNV;RJSTNV5STSJ1        ;LT  500 kV NOVA IGUACU          / SAO JOSE             C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;2142;2699;2142;2699;cabo;cabo;0.02;0.32;34;24;;500;31/10/2011;22/04/2018;30/09/2018
RJSTAN;RJSTAN5STNV1        ;LT  500 kV ANGRA FUR            / NOVA IGUACU          C 1  RJ          ;LTR;BASICA         ;CENTRAIS ELETRICAS BRASILEIRAS SA ELETROBRAS                   ;004/2011  ;2142;2699;2142;2699;cabo;cabo;0.10;1.52;128;109;;500;31/10/2013;22/04/2018;30/09/2018
RJSTNV;RJSTNV5TAU-1SP      ;LT  500 kV NOVA IGUACU          / TAUBATE              C 1  RJ/SP       ;LTR;BASICA         ;LINHAS DE TAUBATÉ TRANSMISSORA DE ENERGIA S.A.                 ;004/2011  ;2770;3580;2770;3580;;;0.18;3.14;349;247;;500;31/10/2013;01/06/2018;30/09/2018
MGMESQ;MGMESQ2TIM21        ;LT  230 kV MESQUITA             / TIMOTEO 2            C 1  MG          ;LTR;BASICA         ;EMPRESA DE TRANSMISSAO TIMOTEO-MESQUITA S.A.                   ;004/2011  ;905;1055;905;1055;;;0.37;2.24;4;24;;230;31/05/2011;07/12/2022;18/02/2021
MGIPAT;MGIPAT2TIM21        ;LT  230 kV IPATINGA 1           / TIMOTEO 2            C 1  MG          ;LTR;BASICA         ;CEMIG GERAÇÃO E TRANSMISSÃO S.A.                               ;004/2011  ;628;628;628;628;;;0.26;1.30;2;13;;230;31/05/2011;04/02/2024;18/02/2021
SPITE ;SPITE-2SJC-1        ;LT  230 kV ITAPETI              / S.JOSE CAMPOS        C 1  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;2026/09   ;1722;2023;1600;1600;D:SC / DJ;D:SC / DJ;0.51;3.35;12;51;;230;;22/08/2012;30/08/2012
SPITE ;SPITE-2STMO1        ;LT  230 kV ITAPETI              / MOGI CRUZES          C 3  SP          ;LTR;BASICA         ;ISA ENERGIA BRASIL S.A.                                        ;2026/09   ;1722;2023;1722;2000;;O:TC D:TC;0.05;0.34;1;5;;230;;23/08/2012;30/08/2012
AMJTX ;AMJTX-2MT--2        ;LT  230 kV JORG.TEIXEIRA        / MAUA III             C 2  AM          ;LTR;BASICA         ;ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ;;1990;2447;1990;2447;;;0.08;0.85;3;30;;230;;01/06/2014;30/06/2014
AMJTX ;AMJTX-2MT--1        ;LT  230 kV JORG.TEIXEIRA        / MAUA III             C 1  AM          ;LTR;BASICA         ;ENERGISA AMAZONAS TRANSMISSORA DE ENERGIA S.A.                 ;;1990;2447;1990;2447;;;0.08;0.85;3;30;;230;;01/06/2014;30/06/2014
PBCGT ;PBCGT-2ETD-2RN      ;LT  230 kV C.GRANDE III         / EXTREMOZ II          C M2 PB/RN       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1262;1590;1262;1590;;;1.75;12.66;48;192;;230;31/03/2013;09/12/2019;24/12/2019
RNETD ;RNETD-2NTS-2        ;LT  230 kV EXTREMOZ II          / NATAL III            C F4 RN          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;3208/11   ;1262;1590;1262;1590;;;0.15;1.11;4;17;;230;31/03/2013;09/12/2019;24/12/2019
AMJTX ;AMJTX-2CRR-3        ;LT  230 kV JORG.TEIXEIRA        / LECHUGA              C 3  AM          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;002/2012  ;1945;2315;1945;2315;;;0.20;1.91;8;30;;230;31/01/2013;15/09/2019;31/03/2015
MAAC  ;MAAC--5MR--1        ;LT  500 kV ACAILANDIA           / MIRANDA II           C 1  MA          ;LTR;BASICA         ;INTEGRAÇÃO MARANHENSE TRANSMISSORA DE ENERGIA S.A.             ;006/2011  ;4545;5405;4545;5405;;;0.19;3.10;731;365;;500;31/07/2013;02/12/2014;30/11/2014
PAMD  ;PAMD--2UG--2        ;LT  230 kV MIRAMAR              / UTINGA               C 2  PA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;3362/12   ;1533;1762;1533;1762;;;0.17;1.06;4;15;;230;30/11/2012;19/04/2016;31/01/2016
PAMD  ;PAMD--2UG--1        ;LT  230 kV MIRAMAR              / UTINGA               C 1  PA          ;LTR;BASICA         ;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE        ;3362/12   ;1533;1762;1533;1762;;;0.17;1.06;4;15;;230;30/11/2012;19/04/2016;31/01/2016
ALUXG ;ALUXG-5JDM-1SE      ;LT  500 kV USINA XINGO          / JARDIM               C V5 AL/SE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;2524;3180;2500;2500;BB;BB;0.15;1.97;213;160;;500;;15/05/2000;
SENSC ;SENSC-2PEN-1AL      ;LT  230 kV NSA.SRA.SOCORRO      / PENEDO               C S8 SE/AL       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;006/2011  ;627;791;627;791;;;1.96;10.47;19;110;;230;31/05/2011;17/02/2019;31/01/2019
SEJDM ;SEJDM-2NSC-2        ;LT  230 kV JARDIM               / NSA.SRA.SOCORRO      C S2 SE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;006/2011  ;1600;1885;1600;1885;;;0.01;0.07;0;1;;230;31/05/2011;17/02/2019;30/06/2019
SEJDM ;SEJDM-2NSC-1        ;LT  230 kV JARDIM               / NSA.SRA.SOCORRO      C S1 SE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;006/2011  ;1600;1885;1600;1885;;;0.01;0.07;0;1;;230;31/05/2011;28/02/2021;31/03/2021
BACMQ ;BACMQ-5SPU-1        ;LT  500 kV CAMACARI IV          / SAPEACU              C L9 BA          ;LTR;BASICA         ;MEZ 1 ENERGIA S.A.                                             ;002/2019  ;2500;3150;2500;3150;;;0.10;1.27;135;105;;500;30/12/2019;20/10/2023;20/03/2025
PERCD ;PERCD-5SUD-2        ;LT  500 kV RECIFE II            / SUAPE II             C 2  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;2525;3180;2525;3180;;;;;;44;;500;31/10/2012;;09/09/9999
PEPFE ;PEPFE-5RCD-1        ;LT  500 kV PAU FERRO            / RECIFE II            C L8 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;1508;2141;1508;2141;;;0.12;1.46;146;113;;500;31/05/2011;21/02/2016;24/01/2016
PEAGD ;PEAGD-5PFE-1        ;LT  500 kV ANGELIM II           / PAU FERRO            C L3 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;1508;2141;1508;2141;;;0.25;2.81;286;220;;500;31/05/2011;21/02/2016;24/01/2016
PEGRD ;PEGRD-5PFE-1        ;LT  500 kV GARANHUNS II         / PAU FERRO            C Z4 PE          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;004/2011  ;3092;3895;3092;3895;;;0.14;2.26;322;209;;500;31/05/2011;24/11/2015;01/12/2015
PBCGT ;PBCGT-5GRD-1PE      ;LT  500 kV C.GRANDE III         / GARANHUNS II         C Z3 PB/PE       ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;004/2011  ;3092;3895;3092;3895;;;0.13;2.10;299;194;;500;31/03/2013;03/10/2015;30/09/2015
PEAGL ;PEAGL-2GRD-4        ;LT  230 kV ANGELIM              / GARANHUNS II         C N6 PE          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;004/2011  ;1250;1590;1250;1590;;;0.12;0.82;3;12;;230;31/05/2011;06/03/2016;01/03/2016
PEGRD ;PEGRD-5ULG-2        ;LT  500 kV GARANHUNS II         / US. L.GONZAGA        C Z2 PE          ;LTR;BASICA         ;INTERLIGAÇÃO ELÉTRICA GARANHUNS S.A.                           ;004/2011  ;3092;3895;3092;3895;;;0.15;2.35;336;218;;500;31/05/2011;27/10/2015;30/11/2015
PEGRD ;PEGRD-2PAF-2BA      ;LT  230 kV GARANHUNS II         / P.AFONSO III         C L3 PE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;437;621;437;437;;Altura segurança;3.68;20.07;34;209;;230;31/05/2011;12/09/2015;15/09/2015
PEAGL ;PEAGL-2GRD-3        ;LT  230 kV ANGELIM              / GARANHUNS II         C N4 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;874;1241;874;1241;;;0.11;0.91;3;12;;230;31/05/2011;04/09/2015;15/09/2015
PEGRD ;PEGRD-2PAF-3BA      ;LT  230 kV GARANHUNS II         / P.AFONSO III         C L4 PE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;874;1241;874;1241;;;1.82;15.63;46;209;;230;31/05/2011;04/09/2015;15/09/2015
PEAGL ;PEAGL-2GRD-2        ;LT  230 kV ANGELIM              / GARANHUNS II         C N2 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;874;1242;874;1242;;;0.11;0.58;4;12;;230;31/05/2011;12/09/2015;15/09/2015
PEGRD ;PEGRD-2PAF-1BA      ;LT  230 kV GARANHUNS II         / P.AFONSO III         C L2 PE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;437;621;437;437;;Altura Segunrança;3.68;20.07;34;209;;230;31/05/2011;12/09/2015;15/09/2015
PEAGD ;PEAGD-5GRD-1        ;LT  500 kV ANGELIM II           / GARANHUNS II         C L5 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;1508;2141;1508;2141;;;0.01;0.16;16;14;;500;31/05/2011;23/09/2015;30/10/2015
PEGRD ;PEGRD-5ULG-1        ;LT  500 kV GARANHUNS II         / US. L.GONZAGA        C Z1 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;004/2011  ;1508;2141;1508;2141;;;0.30;3.04;313;239;;500;31/05/2011;23/09/2015;30/10/2015
RRBV  ;RRBV--5EQ--2        ;LT  500 kV BOA VISTA            / EQUADOR              C 2  RR          ;LTR;BASICA         ;TRANSNORTE ENERGIA S.A.                                        ;004/2011  ;2445;3010;2445;3010;;;0.29;4.41;385;315;;500;31/12/2013;;30/12/2025
RREQ  ;RREQ--5CRR-2AM      ;LT  500 kV EQUADOR              / LECHUGA              C 2  RR/AM       ;LTR;BASICA         ;TRANSNORTE ENERGIA S.A.                                        ;004/2011  ;2445;3010;2445;3010;;;0.36;5.53;493;400;;500;31/12/2013;;30/12/2025
RRBV  ;RRBV--5EQ--1        ;LT  500 kV BOA VISTA            / EQUADOR              C 1  RR          ;LTR;BASICA         ;TRANSNORTE ENERGIA S.A.                                        ;004/2011  ;2445;3010;2445;3010;;;0.29;4.41;385;315;;500;31/12/2013;;30/12/2025
RREQ  ;RREQ--5CRR-1AM      ;LT  500 kV EQUADOR              / LECHUGA              C 1  RR/AM       ;LTR;BASICA         ;TRANSNORTE ENERGIA S.A.                                        ;004/2011  ;2445;3010;2445;3010;;;0.36;5.53;493;400;;500;31/12/2013;;30/12/2025
CEPCM ;CEPCM-2PCE-3        ;LT  230 kV ENERGIA PECEM        / PECEM II             C P5 CE          ;LTR;COMPLEMENTAR   ;Porto Pecem Geracao de Energia SA                              ;;;;;;;;0.04;0.36;0;3;;230;;07/10/2013;30/08/2013
RSMCL ;RSMCL-2NPR22        ;LT  230 kV MONTE CLARO          / NOVA PRATA 2         C 2  RS          ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;3161/11   ;582;733;582;733;;;0.63;3.11;6;33;;230;31/05/2011;25/09/2015;26/09/2015
PRGUA ;PRGUA-2UMU21        ;LT  230 kV GUAIRA               / UMUARAMA SUL         C 1  PR          ;LTR;BASICA         ;CAIUÁ TRANSMISSORA DE ENERGIA S.A.                             ;006/2011  ;800;935;800;935;;;1.60;9.56;19;104;;230;31/12/2013;10/05/2014;10/05/2014
SCYTA ;SCYTA-5NSR-2RS      ;LT  525 kV ITA                  / NOVA STA RITA        C 2  SC/RS       ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;2510;3090;2510;3090;;;0.28;3.75;418;314;;525;31/05/2011;06/07/2014;05/06/2014
PRSSA ;PRSSA-5YTA-2SC      ;LT  525 kV S.SANTIAGO           / ITA                  C 2  PR/SC       ;LTR;BASICA         ;COMPANHIA DE GERAÇÃO E TRANSMISSÃO DE ENERGIA ELÉTRICA DO SUL D;006/2011  ;2710;3335;2710;3335;;;0.18;2.30;253;187;;525;31/05/2011;02/02/2014;31/01/2014
CEIBD ;CEIBD-2SBD-1        ;LT  230 kV IBIAPINA II          / SOBRAL II            C L1 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;500;630;500;595;;LT Alt.Seg.;1.97;10.06;18;102;;230;31/03/2013;13/09/2016;30/08/2016
RNLND ;RNLND-2PRS-1        ;LT  230 kV LAGOA NOVA II        / PARAISO              C L7 RN          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1390;1750;1390;1750;;;0.48;3.54;23;65;;230;31/03/2013;22/12/2016;30/10/2016
BAIRE ;BAIRE-2MPD-1        ;LT  230 kV IRECE                / MORRO CHAPEU II      C S5 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;631;795;631;795;;;1.18;6.08;11;65;;230;;21/12/2017;30/12/2017
PBCGD ;PBCGD-2CGT-3        ;LT  230 kV C.GRANDE II          / C.GRANDE III         C V4 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1262;1590;1262;1590;;;0.10;0.73;3;10;;230;31/03/2013;12/04/2015;30/04/2015
PBCGD ;PBCGD-2CGT-2        ;LT  230 kV C.GRANDE II          / C.GRANDE III         C V3 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1265;1590;1265;1590;;;0.10;0.73;3;9;;230;31/03/2013;28/03/2015;29/03/2015
RNCMM ;RNCMM-2ETD-2        ;LT  230 kV CEARA MIRIM 2        / EXTREMOZ II          C Z2 RN          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1380;1740;1380;1740;;;0.20;2.02;8;19;;230;31/03/2013;17/09/2014;30/10/2014
RNCMM ;RNCMM-2JCD-1        ;LT  230 kV CEARA MIRIM 2        / JOAO CAMARA 2        C C1 RN          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1380;1740;1380;1740;;;0.46;4.81;19;72;;230;31/03/2013;17/09/2014;30/10/2014
PBCGD ;PBCGD-2CGT-1        ;LT  230 kV C.GRANDE II          / C.GRANDE III         C V5 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2011  ;1265;1590;1265;1590;;;0.09;0.65;2;9;;230;31/03/2013;12/05/2015;30/04/2015
