Id da Instala��o;Nome;Id Agente Principal;Agente Principal;Data Prevista;Data Entrada,x,y
RNRNC ;SUB RENASCENCA                                     RN       ;RE ;GERACAO CENTRAL EOLICA RENASCENCA I S.A.                       ;31/03/2015;24/12/2014,-35.88638500099995,-5.292111001999956
RNSAB ;SUB ASA BRANCA                                     RN       ;ASA;Asa Branca IV Energias Renováveis SA                           ;01/10/2014;06/12/2014,-36.003442003999965,-5.354814000999966
RNSEMV;SUB MORRO DOS VENTOS                               RN       ;MVI;Desa Morro dos Ventos I SA                                     ;30/04/2014;29/03/2014,-35.88486400199997,-5.373736001999987
RNSESC;SUB SANTA CLARA                                    RN       ;SCI;SANTA CLARA I ENERGIAS RENOVÁVEIS LTDA                         ;30/04/2014;29/03/2014,-35.92016400399996,-5.261185004999959
RNSMD ;SUB SANTANA DO MATOS II                            RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-36.655833304,-5.957777805999967
RNSS2 ;SUB SERRA DE SANTANA 1 E 2                         RN       ;EEH;ECHOENERGIA PARTICIPACOES S.A.                                 ;30/04/2016;20/02/2016,-36.577500000999976,-6.081667005999975
RNSS3 ;SUB SERRA DE SANTANA 3                             RN       ;EEH;ECHOENERGIA PARTICIPACOES S.A.                                 ;30/04/2016;20/02/2016,-36.498056002,-6.0538890069999525
RNSTD ;SUB SANTA CRUZ II                                  RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-36.031666703999974,-6.231638900999997
RNSTI ;SUB SANTO INACIO                                   CE       ;ESI;CENTRAL EÓLICA SANTO INÁCIO III S A                            ;31/10/2017;01/12/2017,-37.305958003,-4.78693300499998
RNSTL ;SUB SANTA LUZIA II                                 PB       ;SDF;NEOENERGIA SANTA LUZIA TRANSMISSÃO DE ENERGIA S.A.             ;08/04/2022;29/07/2021,-36.972222201999955,-6.900555602999987
RNTRS ;SUB TOUROS                                         RN       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;30/09/2017;12/05/2017,-35.65256600099997,-5.189627006999956
RNUVT ;SUB UNIAO DOS VENTOS                               RN       ;EOP;Energia Potiguar Geradora Eólica SA                            ;22/04/2014;05/04/2014,-35.886111005999965,-5.094167001999949
RNVLC ;SUB VALÊNCIA                                       RN       ;;;31/12/2018;,-35.428600005999954,-5.3128000049999855
SEITB ;SUB ITABAIANA                                      SE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-37.458333305999986,-10.660000003999983
SEITH ;SUB ITABAIANINHA                                   SE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-37.791658102999975,-11.27636460299999
SEJDM ;SUB JARDIM                                         SE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;;02/06/2000,-37.141666703,-10.89194440099999
SENSC ;SUB NOSSA SENHORA DO SOCORRO                       SE       ;CHF;CHESF - Companhia Hidro Elétrica do São Francisco              ;31/01/2019;17/02/2019,-37.147444001999986,-10.875556007
SEPSG ;SUB PORTO DE SERGIPE                               SE       ;SFT;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;31/01/2024;,-36.941388905,-10.816388904999997
RNSMG;SUB SAO MIGUEL                                     RN       ;GEE;SM GERACAO DE ENERGIA EOLICA LTDA                              ;01/10/2017;17/12/2019,-35.78617799999995,-5.267217002999985
