Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
CEMLG ;CEMLG-2BNB-1        ;LT  230 kV MILAGRES             / BANABUIU             C M1 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;4.05;21.89;38;226;;230;;31/12/1990;
PEBNO ;PEBNO-2MLG-1CE      ;LT  230 kV BOM NOME             / MILAGRES             C L1 PE/CE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;1.54;8.05;15;84;;230;;31/12/1990;
CEMLG ;CEMLG-2CMA-1PB      ;LT  230 kV MILAGRES             / COREMAS              C M6 CE/PB       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;2.19;11.65;20;119;;230;;31/12/1990;
CEBNB ;CEBNB-2RSD-1        ;LT  230 kV BANABUIU             / RUSSAS II            C C1 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;;LT - Altura Seg.;2.36;10.72;29;110;;230;;31/12/1990;10/09/2019
CEFTZ ;CEFTZ-2FZD-2        ;LT  230 kV FORTALEZA            / FORTALEZA II         C Z5 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;77;1610;1884;1200;1200;CH;CH;0.00;0.02;0;0;;230;;31/12/1990;08/11/2005
CEFTZ ;CEFTZ-2FZD-1        ;LT  230 kV FORTALEZA            / FORTALEZA II         C Z4 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;77;1610;1884;1200;1200;CH;CH;0.00;0.02;0;0;;230;;31/12/1990;08/11/2005
CECPE ;CECPE-2FZD-3        ;LT  230 kV CAUIPE               / FORTALEZA II         C S1 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;77;598;753;598;753;;;1.08;5.73;10;59;;230;;31/07/2005;30/07/2005
CECPE ;CECPE-2SBD-1        ;LT  230 kV CAUIPE               / SOBRAL II            C S2 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;598;753;598;753;;;3.28;17.57;31;178;;230;;01/04/2001;
PIBEA ;PIBEA-2TSA-1        ;LT  230 kV B. ESPERANCA         / TERESINA             C L1 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;500;630;500;545;;LT - Altura Seg.;3.59;19.24;34;198;;230;;31/12/1990;
PIBEA ;PIBEA-2TSA-2        ;LT  230 kV B. ESPERANCA         / TERESINA             C L2 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;500;630;500;630;;;3.61;19.20;34;198;;230;;31/12/1990;
CESBD ;CESBD-2SBT-1        ;LT  230 kV SOBRAL II            / SOBRAL III           C L2 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;257;1478;1862;1478;1560;;TC;0.09;0.91;4;14;;230;31/12/2002;03/07/2005;03/07/2005
CESBD ;CESBD-2SBT-2        ;LT  230 kV SOBRAL II            / SOBRAL III           C L3 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;257;1478;1862;1478;1560;;TC;0.09;0.91;4;14;;230;31/12/2002;03/07/2005;03/07/2005
PITSA ;PITSA-2PRI-1        ;LT  230 kV TERESINA             / PIRIPIRI             C S1 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;500;630;500;630;;;2.82;15.10;26;155;;230;;31/12/1990;
PITSD ;PITSD-2TSA-2        ;LT  230 kV TERESINA II          / TERESINA             C L4 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;166;826;938;826;938;;;0.46;2.35;4;25;;230;31/12/2000;29/09/2002;31/07/2002
PITSD ;PITSD-2TSA-1        ;LT  230 kV TERESINA II          / TERESINA             C L3 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;166;826;938;826;938;;;0.46;2.35;4;25;;230;31/12/2000;29/09/2002;31/07/2002
ALMSI ;ALMSI-2RLD-2        ;LT  230 kV MESSIAS              / RIO LARGO II         C S4 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;621;;;0.21;1.08;2;12;;230;;31/12/1990;
ALMSI ;ALMSI-2RLD-3        ;LT  230 kV MESSIAS              / RIO LARGO II         C S5 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;621;;;0.21;1.09;2;12;;230;;31/12/1990;
ALMSI ;ALMSI-2MCO-2        ;LT  230 kV MESSIAS              / MACEIO               C S7 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;166;1068;1346;1068;1250;;CH;0.33;1.80;6;27;;230;31/03/2001;15/12/2002;30/06/2003
ALMSI ;ALMSI-2MCO-1        ;LT  230 kV MESSIAS              / MACEIO               C S6 AL          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;166;1068;1346;1068;1250;;CH;0.33;1.80;6;27;;230;31/03/2001;10/11/2002;30/06/2003
PIUBE ;PIUBE-2BEA-1        ;LT  230 kV UB.ESPERANCA         / B. ESPERANCA         C V1 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;600;714;600;714;;;0.06;0.30;1;3;;230;;31/12/1990;
PISJI ;PISJI-2PIC-1        ;LT  230 kV S.JOAO PIAUI         / PICOS                C M1 PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;500;630;500;630;;;3.05;16.24;28;168;;230;;31/12/1990;
BAJZD ;BAJZD-2SNB-2        ;LT  230 kV JUAZEIRO II          / SR.BONFIM II         C N2 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;2.70;13.90;26;149;;230;;31/12/1990;
BAUSB ;BAUSB-2JZD-2        ;LT  230 kV U.SOBRADINHO         / JUAZEIRO II          C S2 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;879;879;879;879;;;0.78;4.00;8;43;;230;;31/12/1990;16/12/2018
BAUSB ;BAUSB-2JZD-1        ;LT  230 kV U.SOBRADINHO         / JUAZEIRO II          C S1 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;879;879;879;879;;;0.78;4.00;8;43;;230;;31/12/1990;16/12/2018
SEITH ;SEITH-2CTU-1BA      ;LT  230 kV ITABAIANINHA         / CATU                 C L1 SE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;437;621;437;437;; LT - Altura Seg.;2.62;14.32;24;144;;230;;29/09/2003;30/11/2021
SEITB ;SEITB-2JDM-2        ;LT  230 kV ITABAIANA            / JARDIM               C C2 SE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;0.79;4.04;8;44;;230;;31/12/1990;
SEITB ;SEITB-2JDM-1        ;LT  230 kV ITABAIANA            / JARDIM               C C1 SE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;0.79;4.04;8;44;;230;;31/12/1990;
BAPAF ;BAPAF-2ITB-2SE      ;LT  230 kV P.AFONSO III         / ITABAIANA            C S6 BA/SE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;2.96;15.23;29;163;;230;;31/12/1990;21/07/2013
BAPAF ;BAPAF-2ITB-1SE      ;LT  230 kV P.AFONSO III         / ITABAIANA            C S7 BA/SE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;795;;;2.96;15.23;29;163;;230;;31/12/1990;21/07/2013
BAPAF ;BAPAF-2CCD-2        ;LT  230 kV P.AFONSO III         / CICERO DANTAS        C S3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;631;795;631;631;;LT - Altura Seg.;2.45;13.10;23;134;;230;;31/12/1990;
