Id da Instala��o;Id do Equipamento;Nome;Id Tipo de Equipamento;Tipo de Rede;Agente Propriet�rio;N�mero da Outorga;Capacidade CPST Longa sem Limita��o (A);Capacidade CPST Curta sem Limita��o (A);Capacidade CPST Longa com Limita��o (A);Capacidade CPST Curta com Limita��o (A);Fator Limitante de Longa;Fator Limitante de Curta;Resist�ncia (%);Reat�ncia Fixa (%);Suscept�ncia Shunt (MVAr);Comprimento (Km);Tipo do Cabo P�ra-raio;Tens�o;Data de Necessidade do SIN;Data Entrada;Data Prevista
BAUST ;BAUST-2NSG-1SE      ;LT  230 kV P. AFONSO III        / NSA S DGLORIAII      C 1  BA/SE       ;LTR;BASICA         ;SERRA NEGRA TRANSMISSÃO DE ENERGIA S.A.                        ;jan/22;;;;;;;;;;20;;230;30/12/2026;;31/12/2026
MAAC  ;MAAC--5SLT-1        ;LT  500 kV ACAILANDIA           / STA LUZIA III        C 1  MA          ;LTR;BASICA         ;INTEGRAÇÃO MARANHENSE TRANSMISSORA DE ENERGIA S.A.             ;fev/22;;;;;;;0.12;1.91;419;2;;500;31/01/2026;;31/01/2026
MAEN  ;MAENO-2SLT-1        ;LT  230 kV ENCRUZO NOVO         / STA LUZIA III        C 1  MA          ;LTR;BASICA         ;TANGARÁ TRANSMISSORA DE ENERGIA ELETRICA S/A                   ;fev/22;;;;;;;;;;203;;230;31/12/2022;;30/01/2026
MASLT ;MASLT-5MR--1        ;LT  500 kV STA LUZIA III        / MIRANDA II           C 1  MA          ;LTR;BASICA         ;INTEGRAÇÃO MARANHENSE TRANSMISSORA DE ENERGIA S.A.             ;fev/22;;;;;;;0.08;1.28;278;2;;500;31/01/2026;;31/01/2026
PIBEA ;PIBEA-5GAR-1MA      ;LT  500 kV B. ESPERANCA         / GRAÇA ARANHA         C 1  PI/MA       ;LTR;BASICA         ;ENERGISA TRANSMISSAO DE ENERGIA S.A.                           ;jan/24;;;;;;;0.15;2.23;242;182;;500;30/12/2022;;30/06/2030
PICHP3;PICHP32CRA21CE      ;LT  230 kV CHAPADA III          / CRATO II             C 1  PI/CE       ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;jan/24;;;;;;;1.89;13.16;25;142;;230;31/03/2024;;30/12/2029
PITEIV;PITEIV5GAR-1MA      ;LT  500 kV TERESINA IV          / GRAÇA ARANHA         C 1  PI/MA       ;LTR;BASICA         ;ENERGISA TRANSMISSAO DE ENERGIA S.A.                           ;001/2024  ;;;;;;;;;;216;;500;30/10/2022;;30/03/2030
SENSG ;SENSG-2ITH-1        ;LT  230 kV NSA S DGLORIAII      / ITABAIANA            C 1  SE          ;LTR;BASICA         ;SERRA NEGRA TRANSMISSÃO DE ENERGIA S.A.                        ;jan/22;;;;;;;;;;20;;230;31/12/2026;;31/12/2026
BABJD ;BABJD-5GOR-2        ;LT  500 kV BOM.JES.LAPA II      / GENTIO OURO II       C C2 BA          ;LTR;BASICA         ;RIALMA TRANSMISSORA DE ENERGIA V SA                            ;jan/23;4000;4000;4000;4000;;;0.14;2.05;589;271;;500;30/12/2022;03/04/2025;29/03/2029
BABJD ;BABJD-5GOR-3        ;LT  500 kV BOM.JES.LAPA II      / GENTIO OURO II       C C4 BA          ;LTR;BASICA         ;RIALMA TRANSMISSORA DE ENERGIA V SA                            ;jan/23;4000;4000;4000;4000;;;0.14;2.05;589;271;;500;30/12/2022;03/04/2025;28/03/2025
BAJUSS;BAJUSS5OUR-1        ;LT  500 kV JUSSIAPE             / OUROLANDIA II        C 1  BA          ;LTR;BASICA         ;GRANDE SERTAO III TRANSMISSORA DE ENERGIA S/A.                 ;001/2024  ;;;;;;;0.17;2.34;689;314;;500;30/12/2022;;30/12/2029
BAJUSS;BAJUSS5OUR-2        ;LT  500 kV JUSSIAPE             / OUROLANDIA II        C 2  BA          ;LTR;BASICA         ;GRANDE SERTAO III TRANSMISSORA DE ENERGIA S/A.                 ;001/2024  ;;;;;;;0.17;2.34;689;314;;500;30/12/2022;;30/12/2029
BAMPD ;BAMCP-5POT-1        ;LT  500 kV MORRO CHAPEU II      / POCOES III           C F1 BA          ;LTR;BASICA         ;NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.          ;001/2020  ;2890;4000;2890;4000;;;0.18;2.50;738;359;;500;30/12/2020;12/05/2024;31/03/2026
BAMPD ;BAMCP-5POT-2        ;LT  500 kV MORRO CHAPEU II      / POCOES III           C F2 BA          ;LTR;BASICA         ;ASA BRANCA TRANSMISSORA DE ENERGIA S.A.                        ;jan/23;;;;;;;0.18;2.50;738;336;;500;30/12/2022;;06/11/2025
BAPOT ;BAPOT-5MDN21        ;LT  500 kV POCOES III           / MEDEIROS NETOII      C C1 BA          ;LTR;BASICA         ;NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.          ;001/2020  ;2890;4000;2890;4000;;;0.17;2.36;693;329;;500;30/12/2020;09/08/2025;29/09/2024
BAPOT ;BAPOT-5MDN22        ;LT  500 kV POCOES III           / MEDEIROS NETOII      C C2 BA          ;LTR;BASICA         ;ASA BRANCA TRANSMISSORA DE ENERGIA S.A.                        ;jan/23;;;;;;;0.17;2.35;693;316;;500;30/12/2022;;06/11/2025
RNRID ;RNRID-2CGT-1PB      ;LT  230 kV RIACHAO II           / C.GRANDE III         C M1 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1262;1590;;;0.88;6.39;24;96;;230;;02/11/2023;31/05/2023
RNRID ;RNRID-2ETD-1        ;LT  230 kV RIACHAO II           / EXTREMOZ II          C M3 PB/RN       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1262;1590;;;0.90;6.48;24;97;;230;;02/11/2023;31/05/2023
PERCD ;PERCD-2BGI-1        ;LT  230 kV RECIFE II            / BONGI                C 1  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2023  ;568;0;0;0;;;0.12;1.16;30;13;;230;30/12/2022;;29/03/2029
PERCD ;PERCD-2BGI-2        ;LT  230 kV RECIFE II            / BONGI                C 2  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2023  ;568;0;0;0;;;0.25;1.29;2;13;;230;30/12/2022;;29/03/2029
PITSD ;PITSD-5GAR-1MA      ;LT  500 kV TERESINA II          / GRAÇA ARANHA         C 1  PI/MA       ;LTR;BASICA         ;;;;;;;;;0.13;2.06;303;6;;500;30/12/2022;;30/12/2022
PITSD ;PITSD-5GAR-3MA      ;LT  500 kV TERESINA II          / GRAÇA ARANHA         C 2  PI/MA       ;LTR;BASICA         ;;;;;;;;;;;;8;;500;30/12/2022;;30/12/2022
SEXNG ;SEXNG-5CMD-1BA      ;LT  500 kV XINGO                / CAMACARI II          C 1  SE/BA       ;LTR;BASICA         ;PEDRAS TRANSMISSORA DE ENERGIA S.A.                            ;jan/23;;;;;;;;;;355;;500;30/12/2022;;30/09/2028
SEXNG ;SEXNG-5CMD-2BA      ;LT  500 kV XINGO                / CAMACARI II          C 2  SE/BA       ;LTR;BASICA         ;PEDRAS TRANSMISSORA DE ENERGIA S.A.                            ;jan/23;;;;;;;;;;355;;500;30/12/2022;;30/09/2028
MAGAR ;MAGAR-5PD--1        ;LT  500 kV GRAÇA ARANHA         / P.DUTRA              C 1  MA          ;LTR;BASICA         ;;;;;;;;;0.01;0.23;34;6;;500;30/12/2022;;30/12/2022
MAGAR ;MAGAR-5PD--2        ;LT  500 kV GRAÇA ARANHA         / P.DUTRA              C 2  MA          ;LTR;BASICA         ;;;;;;;;;0.01;0.23;34;8;;500;30/12/2022;;30/12/2022
MAPD  ;MAPD--5GAR-3        ;LT  500 kV P.DUTRA              / GRAÇA ARANHA         C 3  MA          ;LTR;BASICA         ;;;;;;;;;0.02;0.24;35;18;;500;30/12/2022;;30/12/2022
CEIBD ;CEIBD-2PRI-3PI      ;LT  230 kV IBIAPINA II          / PIRIPIRI             C 3  CE/PI       ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;jan/24;;;;;;;;;;86;;230;31/10/2023;;30/06/2029
CEPCT ;CEPCT-5FZD-2        ;LT  500 kV PACATUBA             / FORTALEZA II         C 2  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;1;;500;31/10/2022;;30/06/2029
CEQXA ;CEQXA-5PCT-1        ;LT  500 kV QUIXADA              / PACATUBA             C 1  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;1;;500;31/10/2022;;30/06/2029
CEBNB ;CEBNB-2ALX-1        ;LT  230 kV BANABUIU             / ALEX                 C C5 CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;jan/24;631;795;631;795;;;2.11;10.45;28;109;;230;;19/08/2021;31/07/2021
CEALX ;CEALX-2MSD-1RN      ;LT  230 kV ALEX                 / MOSSORO II           C P3 CE/RN       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;jan/24;631;795;631;795;;;1.38;6.82;18;69;;230;;19/08/2021;31/07/2021
PBJPII;PBJPD-5PFE-1PE      ;LT  500 kV JOAO PESSOA II       / PAU FERRO            C 1  PB/PE       ;LTR;BASICA         ;GRANDE SERTAO I TRANSMISSORA DE ENERGIA S/A.                   ;001/2024  ;;;;;;;;;;87;;500;31/10/2022;;30/06/2029
PEGRD ;PEGRD-5MSI-1AL      ;LT  500 kV GARANHUNS II         / MESSIAS              C 1  PE/AL       ;LTR;BASICA         ;GRANDE SERTAO I TRANSMISSORA DE ENERGIA S/A.                   ;001/2024  ;;;;;;;;;;87;;500;31/12/2023;;30/06/2029
RNCMM ;RNCID-5JPD-1PB      ;LT  500 kV CEARA MIRIM 2        / JOAO PESSOA II       C 1  RN/PB       ;LTR;BASICA         ;GRANDE SERTAO I TRANSMISSORA DE ENERGIA S/A.                   ;001/2024  ;;;;;;;;;;198;;500;22/10/2022;;30/06/2029
PEFLD ;PEFTD-2PAF-1BA      ;LT  230 kV FLORESTA II          / P.AFONSO III         C 1  PE/BA       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;2563/23   ;;;;;;;;;;1;;230;31/12/2022;;26/07/2026
PEBNO ;PEBNO-2FTD-3        ;LT  230 kV BOM NOME             / FLORESTA II          C 3  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;2563/23   ;;;;;;;;;;2;;230;31/12/2022;;27/07/2026
PEFLD ;PEFTD-2TAT-2        ;LT  230 kV FLORESTA II          / TACARATU             C 2  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;2563/23   ;;;;;;;;;;7;;230;31/12/2022;;28/07/2026
PEFLD ;PEFTD-2TAT-1        ;LT  230 kV FLORESTA II          / TACARATU             C 1  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;14821/23  ;;;;;;;;;;14;;230;31/10/2022;;26/07/2026
BAZBU ;ALZBU-2ZBII1        ;LT  230 kV ZEBU                 / ZEBU III             C 1  AL          ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;jan/24;;;;;;;;;;2;;230;31/12/2024;;31/12/2024
BAZBU ;ALZBU-2ZBII2        ;LT  230 kV ZEBU                 / ZEBU III             C 2  AL          ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;jan/24;;;;;;;;;;2;;230;31/12/2024;;31/12/2024
PEBNO2;PEBNO25ZBII1AL      ;LT  500 kV BOM NOME II          / ZEBU III             C 1  PE/AL       ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;163;;500;31/12/2023;;30/12/2029
PEBNO ;PEBNO-2BNO21        ;LT  230 kV BOM NOME             / BOM NOME II          C 1  PE          ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;111;;230;30/07/2023;;30/12/2029
PEBNO ;PEBNO-2BNO22        ;LT  230 kV BOM NOME             / BOM NOME II          C 2  PE          ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;7;;230;31/12/2023;;30/12/2029
ALZBII;ALZBII5OLD-1BA      ;LT  500 kV ZEBU III             / OLINDINA             C 1  AL/BA       ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;226;;500;31/12/2023;;30/12/2029
PEBNO2;PEBNO25CF2-1BA      ;LT  500 kV BOM NOME II          / CAMPO FORMOSOII      C 1  PE/BA       ;LTR;BASICA         ;SPE NOVA ERA INTEGRACAO TRANSMISSORA S.A.                      ;001/2024  ;;;;;;;;;;365;;500;31/12/2023;;30/12/2029
CEABA ;CEABA-2MLG-2        ;LT  230 kV ABAIARA              / MILAGRES             C 2  CE          ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;001/2024  ;;;;;;;0.20;1.13;3;15;;230;31/10/2022;;30/06/2029
CECRA2;CECTD-2ABA-1        ;LT  230 kV CRATO II             / ABAIARA              C 1  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;15;;230;31/10/2022;;30/06/2029
CEABA ;CEABA-2MLG-2        ;LT  230 kV ABAIARA              / MILAGRES             C 2  CE          ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;001/2024  ;;;;;;;0.20;1.13;3;15;;230;31/10/2022;;30/06/2029
PICNP ;PICNP-5SJII1        ;LT  500 kV CURRAL PIAUI II      / S.JOAO PIAUI II      C 1  PI          ;LTR;BASICA         ;EDP TRANSMISSAO NORDESTE S.A.                                  ;jan/24;;;;;;;;;;222;;500;31/12/2024;;30/06/2029
PISJII;PISJII5RGV-2        ;LT  500 kV S.JOAO PIAUI II      / RIB.GONCALVES        C 2  PI          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;001/2024  ;;;;;;;;;;4;;500;31/12/2024;;30/06/2029
PISJI ;PISJI-5SJII2        ;LT  500 kV S.JOAO PIAUI         / S.JOAO PIAUI II      C 2  PI          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;001/2024  ;;;;;;;;;;4;;500;31/12/2024;;30/06/2029
CEALX ;CEALX-2MDN-1        ;LT  230 kV ALEX                 / MORADA NOVA          C 1  CE          ;LTR;BASICA         ;SPE NOVA ERA CEARA TRANSMISSORA S.A.                           ;jan/24;;;;;;;;;;62;;230;31/12/2023;;30/06/2029
CEMDN ;CEMDN-2RSD-1        ;LT  230 kV MORADA NOVA          / RUSSAS II            C 2  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;1;;230;31/12/2023;;30/06/2029
CEBNB ;CEBNB-2MDN-1        ;LT  230 kV BANABUIU             / MORADA NOVA          C 2  CE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;1;;230;31/12/2023;;30/06/2029
CEMDN ;CEMDN-5PCT-1        ;LT  500 kV MORADA NOVA          / PACATUBA             C 1  CE          ;LTR;BASICA         ;SPE NOVA ERA CEARA TRANSMISSORA S.A.                           ;jan/24;;;;;;;;;;151;;500;31/10/2022;;30/06/2029
CEQXA ;CEQXA-5CTE-1        ;LT  500 kV QUIXADA              / CRATÉUS              C 1  CE          ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;jan/24;;;;;;;;;;205;;500;31/10/2022;;30/06/2029
CECTE ;CECTE-5TSD-1PI      ;LT  500 kV CRATÉUS              / TERESINA IV          C 1  CE/PI       ;LTR;BASICA         ;SPE NOVA ERA TERESINA TRANSMISSORA S.A.                        ;004/2024  ;;;;;;;;;;219;;500;31/10/2022;;30/06/2029
PITEIV;PITEIV5TGD-2CE      ;LT  500 kV TERESINA IV          / TIANGUA II           C 2  PI/CE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;2;;500;31/12/2023;;30/06/2029
PITSD ;PITSD-5TEIV2        ;LT  500 kV TERESINA II          / TERESINA IV          C 2  PI          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;2;;500;31/12/2023;;30/06/2029
CETIA ;CETGD-5TEIV1PI      ;LT  500 kV TIANGUA II           / TERESINA IV          C 1  CE/PI       ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;001/2024  ;;;;;;;;;;2;;500;31/12/2023;;30/06/2029
PITEIV;PITEIV5TSD-1        ;LT  500 kV TERESINA IV          / TERESINA II          C 1  PI          ;LTR;BASICA         ;SISTEMA DE TRANSMISSÃO NORDESTE S.A.                           ;001/2024  ;;;;;;;;;;2;;500;31/12/2023;;30/06/2029
PEBNO2;PEBNO25MLD-1CE      ;LT  500 kV BOM NOME II          / MILAGRES II          C 1  PE/CE       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;1;;500;31/10/2022;;30/12/2029
PEULG ;PEULG-5BNO21        ;LT  500 kV US. L.GONZAGA        / BOM NOME II          C 1  PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2924  ;;;;;;;;;;1;;500;31/10/2022;;30/12/2029
BABDD ;BABDD-2CRL-1        ;LT  230 kV BRUMADO II           / CRISTALANDIA         C P1 BA          ;LTR;COMPLEMENTAR   ;CRISTALANDIA I EOLICA S.A.                                     ;;;;;;;;0.50;2.42;4;26;;230;;01/09/2017;30/12/2017
BAFUT ;BAFUT-5USB-1        ;LT  500 kV FUTURA               / U.SOBRADINHO         C C3 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;Parecer   ;2524;3180;2500;2500;BB;BB;0.04;0.45;44;35;;500;;09/03/2023;28/10/2022
BAJZT ;BAJZT-5FUT-1        ;LT  500 kV JUAZEIRO III         / FUTURA               C N7 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;Parecer   ;2524;3180;2524;3180;;;0.04;0.41;41;33;;500;;09/03/2023;28/10/2022
BAMDN2;BAMDN22TFD-2        ;LT  230 kV MEDEIROS NETOII      / TEIX FREITAS II      C N8 BA          ;LTR;BASICA         ;NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.          ;001/2020  ;885;1200;885;1200;;;0.74;5.20;10;57;;230;30/12/2020;03/02/2024;06/12/2023
BARDE ;BARDE-2RGD-1        ;LT  230 kV RIO DAS EGUAS        / RIO GRANDE II        C F3 BA          ;LTR;BASICA         ;RIALMA TRANSMISSORA DE ENERGIA IV LTDA.                        ;002/2021  ;720;1000;720;1000;;;2.19;13.32;26;143;;230;31/01/2024;05/06/2023;30/09/2025
BAUIT1;BAUITP2ITI-1        ;LT  230 kV ITAPEBI US           / ITAPEBI SE           C G1 BA          ;LTR;COMPLEMENTAR   ;ITAPEBI GERAÇÃO DE ENERGIA SA                                  ;;;;;;;;0.01;0.02;0;0;;230;;05/02/2003;01/10/2003
BAUIT1;BAUITP2ITI-2        ;LT  230 kV ITAPEBI US           / ITAPEBI SE           C G2 BA          ;LTR;COMPLEMENTAR   ;ITAPEBI GERAÇÃO DE ENERGIA SA                                  ;;;;;;;;0.01;0.02;0;0;;230;;12/06/2003;01/10/2003
BAUIT1;BAUITP2ITI-3        ;LT  230 kV ITAPEBI US           / ITAPEBI SE           C G3 BA          ;LTR;COMPLEMENTAR   ;ITAPEBI GERAÇÃO DE ENERGIA SA                                  ;;;;;;;;0.01;0.02;0;0;;230;;12/06/2003;01/10/2003
MADLT ;MADLT-1PLN-1        ;LT  138 kV DELTA 3              / PAULINO NEVES        C 1  MA          ;LTR;COMPLEMENTAR   ;OMEGA Energia e Implantação 1 SA                               ;;;;;;;;0.32;2.79;3;18;;138;;07/07/2017;31/05/2017
RNACT ;RNACT-2SPL-1        ;LT  230 kV ACU III              / SIMPLICE             C L4 RN          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;35;;;;;;;0.99;4.97;9;53;;230;;24/11/2024;30/11/2023
RNSPL ;RNSPL-2LND-1        ;LT  230 kV SIMPLICE             / LAGOA NOVA II        C L3 RN          ;LTR;BASICA         ;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S A                   ;35;;;;;;;0.66;3.33;6;35;;230;;24/11/2024;30/11/2023
MAUTM3;MAUTM35SEPN3        ;LT  500 kV UT.MARANHAO 3        / PARNAIBA             C 3  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA II GERAÇÃO DE ENERGIA S.A.                            ;;;;;;;;0.01;0.02;0;1;;500;;01/07/2016;31/01/2017
PILV3 ;PILV3-5QND-1        ;LT  500 kV LAGOA VENTOS 3       / QUEIMADA NOVA 2      C L5 PI          ;LTR;COMPLEMENTAR   ;Enel Green Power Ventos de São Roque 01 SA                     ;;;;;;;;0.04;0.54;49;40;;500;;01/10/2022;01/08/2021
RNSDM2;RNSDM25SDM-1        ;LT  500 kV SERRA DO MEL 2       / SERRA DO MEL         C P2 RN          ;LTR;COMPLEMENTAR   ;EOL POTIGUAR B31 SPE S.A.                                      ;;;;;;;;0.02;0.22;21;17;;500;;20/04/2021;27/12/2020
BABBS ;BABBS-2OUR-1        ;LT  230 kV BABILONIA SUL        / OUROLANDIA II        C P4 BA          ;LTR;COMPLEMENTAR   ;Casa dos Ventos Energias Renováveis SA                         ;;;;;;;;0.29;1.97;7;30;;230;;17/11/2022;30/09/2023
BAPAF ;BAPAF-2USD-J5       ;LT  230 kV P.AFONSO III         / P. AFONSO II         C J5 BA          ;LTR;COMPLEMENTAR   ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;;;;;;0.10;0.10;0;1;;230;;12/02/2021;
PIMRG ;PIMRG-2PRI-1        ;LT  230 kV MARANGATU            / PIRIPIRI             C S2 PI          ;LTR;BASICA         ;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A.                 ;;;;;;;;0.25;2.50;10;38;;230;;01/04/2024;31/10/2023
RNGAM ;RNGAM-2TRS-1        ;LT  230 kV GAMELEIRA            / TOUROS               C P2 RN          ;LTR;COMPLEMENTAR   ;SPE Gameleira Energia S.A.                                     ;;;;;;;;0.32;1.97;4;21;;230;;25/06/2021;25/11/2020
RNMNV ;RNMNV-2TRS-1        ;LT  230 kV MUNDO NOVO           / TOUROS               C P3 RN          ;LTR;COMPLEMENTAR   ; SPE 2 – Central Eólica Mundo  Novo S.A.                       ;;;;;;;;0.02;0.08;0;;;230;;30/01/2024;31/08/2023
RNRID ;RNRID-2CGT-1PB      ;LT  230 kV RIACHAO II           / C.GRANDE III         C M1 PB          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;1262;1590;1262;1590;;;0.88;6.39;24;96;;230;;02/11/2023;31/05/2023
CEALX ;CEALX-2MSD-1RN-----1;LT  230 kV ALEX                 / MOSSORO II           C 1  CE/RN       ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;001/2024  ;;;;;;;;;;3;;230;31/10/2022;;30/06/2029
SEUPS1;SEUPS15JDM-2        ;LT  500 kV PORTO SERGIPE I      / JARDIM               C P2 SE          ;LTR;BASICA         ;SÃO FRANCISCO TRANSMISSÃO DE ENERGIA S.A.                      ;;;;;;;;0.03;0.39;121;33;;500;;21/03/2020;31/03/2019
PEPRD ;PEPRD-2JBD-J1       ;LT  230 kV PIRAPAMA II          / JABOATAO II          C J1 PE          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;;;;;;;0.64;3.22;6;34;;230;;;01/05/2023
BAJRB ;BAJER-5CAN-1        ;LT  500 kV JEREMOABO            / CANUDOS I            C C2 BA          ;LTR;COMPLEMENTAR   ;Eólica Canudos II SPE S.A.                                     ;;;;;;;;0.03;0.51;87;52;;500;;01/12/2023;31/12/2021
BAJRB ;BAJER-5OLD-1        ;LT  500 kV JEREMOABO            / OLINDINA             C L9 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;2524;3180;2500;2500;BB;BB;0.13;1.62;165;128;;500;;05/03/2023;31/12/2021
BAJRB ;BAJER-5PAQ-1        ;LT  500 kV JEREMOABO            / P. AFONSO IV_SE      C S5 BA          ;LTR;BASICA         ;CHESF - Companhia Hidro Elétrica do São Francisco              ;;2524;3180;2500;2500;BB;BB;0.09;1.07;108;84;;500;;05/03/2023;31/12/2021
RNMS2 ;BAMS2-5MCP-1        ;LT  500 kV M CHAPEU SUL II      / MORRO CHAPEU II      C N5 BA          ;LTR;COMPLEMENTAR   ;ENEL GREEN POWER VENTOS DE SANTA ESPERANÇA 8 S.A               ;;;;;;;;0.02;0.33;30;24;;500;;13/11/2021;30/04/2021
BASDS ;BASDS-5BJD-1        ;LT  500 kV SOL DO SERTAO        / BOM.JES.LAPA II      C 1  BA          ;LTR;BASICA         ;ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.                       ;;2880;4000;2880;4000;;;0.08;1.09;308;143;;500;;18/07/2021;31/07/2021
BASDS ;BASDS-5GOR-1        ;LT  500 kV SOL DO SERTAO        / GENTIO OURO II       C 1  BA          ;LTR;BASICA         ;ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.                       ;;2880;4000;2800;4000;;;0.07;0.95;269;126;;500;;18/07/2021;31/07/2021
BATUC ;BATUC-5OLD-S8       ;LT  500 kV TUCANO               / OLINDINA             C S8 BA          ;LTR;COMPLEMENTAR   ;TUCANO F2 GERACAO DE ENERGIAS SPE S.A.                         ;;;;;;;;0.05;0.56;60;45;;500;;09/07/2022;26/11/2021
MASEPN;MASEPN5SO--1        ;LT  500 kV PARNAIBA             / S.ANTON LOPES        C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.00;0.01;0;0;;500;;03/07/2013;28/02/2013
MASEPN;MASEPN5SO--2        ;LT  500 kV PARNAIBA             / S.ANTON LOPES        C 2  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.00;0.01;0;0;;500;;17/01/2013;28/02/2013
MAUTM3;MAUTM35SEPN1        ;LT  500 kV UT.MARANHAO 3        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA II GERAÇÃO DE ENERGIA S.A.                            ;;;;;;;;0.01;0.02;0;1;;500;;01/07/2016;31/07/2016
MAUTM3;MAUTM35SEPN2        ;LT  500 kV UT.MARANHAO 3        / PARNAIBA             C 2  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA II GERAÇÃO DE ENERGIA S.A.                            ;;;;;;;;0.01;0.02;0;1;;500;;01/07/2016;31/01/2017
MAUTM4;MAUTM45SEPN1        ;LT  500 kV UT.MARANHAO 4        / PARNAIBA             C 1  MA          ;LTR;COMPLEMENTAR   ;PARNAÍBA GERAÇÃO E COMERCIALIZAÇÃO DE ENERGIA S.A.             ;;;;;;;;0.01;0.02;0;0;;500;;20/02/2013;28/02/2013
